Jerry Stackhouse,34
1992,"['Will Perdue', 'Scottie Pippen', 'Mark Bryant', 'Jerome Kersey', 'Terry Porter']"
1991,"['Will Perdue', 'Scottie Pippen']"
1990,"['Mark Bryant', 'Jerome Kersey', 'Terry Porter']"
Aaron Williams,32
2021,['Chris Paul']
2020,['J.R. Smith']
2019,['Shaun Livingston']
2018,"['Shaun Livingston', 'David West', 'José Calderón', 'J.R. Smith']"
2017,"['Shaun Livingston', 'David West', 'Richard Jefferson', 'J.R. Smith']"
2016,"['Richard Jefferson', 'J.R. Smith', 'Shaun Livingston']"
2015,"['Shaun Livingston', 'J.R. Smith']"
2014,"['Matt Bonner', 'Chris Bosh', 'Rashard Lewis']"
2013,"['Chris Bosh', 'Juwan Howard', 'Rashard Lewis', 'Matt Bonner', 'Stephen Jackson']"
2012,"['Chris Bosh', 'Juwan Howard']"
2011,"['Jason Kidd', 'Chris Bosh', 'Juwan Howard']"
2010,"['Josh Powell', 'Brian Scalabrine']"
2009,"['Josh Powell', 'Rafer Alston', 'Anthony Johnson', 'Rashard Lewis']"
2008,"['P.J. Brown', 'Sam Cassell', 'Brian Scalabrine']"
2007,"['Matt Bonner', 'Jacque Vaughn', 'Eric Williams', 'Donyell Marshall', 'Eric Snow']"
2006,"['Alonzo Mourning', 'Gary Payton', 'Doug Christie', 'Josh Powell', 'Keith Van Horn']"
2005,"['Linton Johnson', 'Glenn Robinson', 'Anthony Goldwire', 'Darvin Ham', 'Richard Hamilton', 'Antonio McDyess']"
2004,"['Hubert Davis', 'Darvin Ham', 'Richard Hamilton', 'Mike James', 'Karl Malone', 'Gary Payton', 'Bryon Russell']"
2003,"['Speedy Claxton', 'Anthony Goldwire', 'Stephen Jackson', 'Brandon Armstrong', 'Chris Childs', 'Jason Collins', 'Lucious Harris', 'Richard Jefferson', 'Anthony Johnson', 'Jason Kidd', 'Kerry Kittles', 'Donny Marshall', 'Kenyon Martin', 'Dikembe Mutombo', 'Rodney Rogers', 'Brian Scalabrine', 'Tamar Slay']"
2002,"['Jelani McCoy', 'Mitch Richmond', 'Brandon Armstrong', 'Jason Collins', 'Derrick Dial', 'Steve Goodrich', 'Lucious Harris', 'Richard Jefferson', 'Anthony Johnson', 'Jason Kidd', 'Kerry Kittles', 'Todd MacCulloch', 'Donny Marshall', 'Kenyon Martin', 'Brian Scalabrine', 'Reggie Slater', 'Keith Van Horn']"
2001,"['Rodney Buford', 'Todd MacCulloch', 'Dikembe Mutombo', 'Kevin Ollie', 'Eric Snow']"
2000,"['Travis Best', 'Mark Jackson', 'Sam Perkins', 'Jalen Rose']"
1999,"['Jerome Kersey', 'Gerard King', 'Chris Childs', 'David Wingate']"
1998,"['Karl Malone', 'Bryon Russell', 'John Stockton', 'Jacque Vaughn']"
1997,"['Stephen Howard', 'Karl Malone', 'Bryon Russell', 'John Stockton', 'Brooks Thompson']"
1996,"['Hersey Hawkins', 'Ervin Johnson', 'Nate McMillan', 'Gary Payton', 'Sam Perkins', 'Detlef Schrempf', 'Eric Snow', 'David Wingate']"
1995,"['Sam Cassell', 'Pete Chilcutt', 'Tracy Murray', 'Brooks Thompson']"
1994,"['Sam Cassell', 'Greg Anthony', 'Hubert Davis']"
1993,['Tom Chambers']
1992,"['Jerome Kersey', 'Robert Pack', 'Danny Young']"
1991,['Sam Perkins']
1990,"['Jerome Kersey', 'Danny Young']"
Jamal Crawford,31
2021,"['Mikal Bridges', 'Chris Paul', 'Deandre Ayton', 'Devin Booker', 'Jeff Teague']"
2020,"['Troy Daniels', 'Jared Dudley', 'Jimmy Butler']"
2019,['Eric Moreland']
2018,"['Zaza Pachulia', 'Channing Frye', 'Jeff Green', 'Derrick Rose']"
2017,"['Matt Barnes', 'Zaza Pachulia', 'Channing Frye', 'Dahntay Jones']"
2016,"['Jared Cunningham', 'Channing Frye', 'Dahntay Jones', 'Marreese Speights']"
2015,"['David Lee', 'Marreese Speights']"
2014,"['Jeff Ayres', 'Marco Belinelli', 'Roger Mason']"
2013,['Stephen Jackson']
2012,"['Eddy Curry', 'Ronny Turiaf', 'Cole Aldrich', 'Nazr Mohammed']"
2011,"['Caron Butler', 'Tyson Chandler', 'Mike Bibby']"
2010,"['Jordan Farmar', 'Lamar Odom', 'Josh Powell', 'Sasha Vujačić', 'Metta World Peace', 'Glen Davis', 'Lester Hudson', 'Paul Pierce', 'Nate Robinson']"
2009,"['Trevor Ariza', 'Jordan Farmar', 'Lamar Odom', 'Josh Powell', 'Sasha Vujačić', 'J.J. Redick', 'Hedo Türkoğlu']"
2008,"['Glen Davis', 'Paul Pierce', 'Trevor Ariza', 'Maurice Evans', 'Jordan Farmar', 'Lamar Odom', 'Ronny Turiaf', 'Sasha Vujačić']"
2007,"['Jackie Butler', 'Donyell Marshall']"
2006,"['Shandon Anderson', 'Josh Powell']"
2005,"['Linton Johnson', 'Nazr Mohammed', 'Malik Rose', 'Chauncey Billups', 'Ronald Dupree']"
2004,"['Chauncey Billups', 'Jannero Pargo', 'Ime Udoka']"
2003,"['Stephen Jackson', 'Malik Rose', 'Jason Collins']"
2002,"['Jason Collins', 'Steve Goodrich']"
2001,['Nazr Mohammed']
2000,"['Travis Best', 'Jalen Rose']"
1999,"['Malik Rose', 'Rick Brunson', 'Marcus Camby', 'Allan Houston', 'Kurt Thomas']"
1998,"['Scottie Pippen', 'Shandon Anderson']"
1997,"['Scottie Pippen', 'Shandon Anderson']"
1996,['Scottie Pippen']
1995,['Anfernee Hardaway']
1994,['Charles Oakley']
1993,['Scottie Pippen']
1992,['Scottie Pippen']
1991,['Scottie Pippen']
Nazr Mohammed,31
2021,"['Cameron Payne', ""E'Twaun Moore""]"
2020,"['Jared Dudley', 'Dion Waiters', 'Jimmy Butler']"
2019,"['Serge Ibaka', 'Kevin Durant', 'Shaun Livingston']"
2018,"['Kevin Durant', 'Shaun Livingston', 'Kendrick Perkins', 'Derrick Rose']"
2017,"['Kevin Durant', 'Shaun Livingston', 'Mike Dunleavy']"
2016,['Shaun Livingston']
2015,"['Shaun Livingston', 'Lou Amundson', 'Kendrick Perkins', 'Dion Waiters']"
2014,"['Marco Belinelli', 'Shannon Brown', 'Boris Diaw', 'Tim Duncan', 'Manu Ginóbili', 'Tony Parker', 'Malcolm Thomas']"
2013,"['Juwan Howard', 'Jarvis Varnado', 'Boris Diaw', 'Tim Duncan', 'Manu Ginóbili', 'Stephen Jackson', 'Tony Parker']"
2012,"['Juwan Howard', 'Cole Aldrich', 'Nick Collison', 'Daequan Cook', 'Kevin Durant', 'Derek Fisher', 'James Harden', 'Lazar Hayward', 'Serge Ibaka', 'Royal Ivey', 'Reggie Jackson', 'Eric Maynor', 'Kendrick Perkins', 'Ryan Reid', 'Thabo Sefolosha', 'Russell Westbrook']"
2011,"['Alexis Ajinça', 'Tyson Chandler', 'Jason Terry', 'Juwan Howard']"
2010,"['Shannon Brown', 'Derek Fisher', 'Pau Gasol', 'Adam Morrison', 'Michael Finley', 'Kendrick Perkins', 'Nate Robinson', 'Rasheed Wallace']"
2009,"['Trevor Ariza', 'Shannon Brown', 'Derek Fisher', 'Pau Gasol', 'Adam Morrison', 'Vladimir Radmanović']"
2008,"['Kendrick Perkins', 'Trevor Ariza', 'Kwame Brown', 'Derek Fisher', 'Pau Gasol', 'Ira Newble', 'Vladimir Radmanović']"
2007,"['Brent Barry', 'Bruce Bowen', 'Tim Duncan', 'Michael Finley', 'Manu Ginóbili', 'Robert Horry', 'Fabricio Oberto', 'Tony Parker', 'Beno Udrih', 'Jacque Vaughn', 'Shannon Brown', 'Larry Hughes', 'Dwayne Jones', 'Ira Newble', 'Eric Snow']"
2006,"['Derek Anderson', 'Shandon Anderson', 'DeSagana Diop', 'Jason Terry']"
2005,"['Brent Barry', 'Bruce Bowen', 'Devin Brown', 'Tim Duncan', 'Manu Ginóbili', 'Dion Glover', 'Robert Horry', 'Linton Johnson', 'Sean Marks', 'Tony Massenburg', 'Rasho Nesterović', 'Tony Parker', 'Glenn Robinson', 'Beno Udrih', 'Mike Wilks', 'Chauncey Billups', 'Carlos Delfino', 'Ronald Dupree', 'Darvin Ham', 'Richard Hamilton', 'Lindsey Hunter', 'Antonio McDyess', 'Tayshaun Prince', 'Rasheed Wallace']"
2004,"['Chauncey Billups', 'Darvin Ham', 'Richard Hamilton', 'Lindsey Hunter', 'Mike James', 'Tayshaun Prince', 'Rasheed Wallace', 'Derek Fisher']"
2003,"['Bruce Bowen', 'Devin Brown', 'Tim Duncan', 'Manu Ginóbili', 'Stephen Jackson', 'Tony Parker', 'Dikembe Mutombo']"
2002,"['Derek Fisher', 'Robert Horry', 'Lindsey Hunter', 'Todd MacCulloch', 'Reggie Slater']"
